NAME_1,month,ndvi_base,moisture_base,temp_base
Chaiyaphum,1,0.349502535,0.24522084,20.520424
Chaiyaphum,2,0.42687206,0.282795835,25.131068499999998
Chaiyaphum,3,0.3695817633333333,0.25180309333333334,27.325298000000004
Chaiyaphum,4,0.38907152333333334,0.30186249,26.474461666666667
Chaiyaphum,6,0.5423908,0.47579902,24.618572
Chaiyaphum,7,0.5501949,0.46863413,25.749786
Chaiyaphum,8,0.6649505,0.46648,25.134089
Chaiyaphum,9,0.6102984,0.47876957,23.953745
Chaiyaphum,12,0.48456397500000004,0.31471764999999996,19.248537499999998
Chiang Mai,1,0.42130541602430555,0.25925727298958334,19.307483453125
Chiang Mai,2,0.339673867572697,0.2606017788079911,22.30995583018868
Chiang Mai,3,0.33674679385407924,0.25932582036596735,25.13312928951049
Chiang Mai,4,0.3594489314837209,0.2711212915988372,27.68581123139535
Chiang Mai,5,0.3708880682096774,0.3857465091202346,25.58048225366569
Chiang Mai,6,0.4236955803228699,0.4396670692376682,24.105453616591927
Chiang Mai,7,0.45607141835555554,0.45387136386111115,23.78277256666667
Chiang Mai,8,0.48089679070675106,0.4577939424472574,23.437007533755274
Chiang Mai,9,0.47788697368855937,0.4600590161440678,23.372821252118644
Chiang Mai,10,0.48537256357861636,0.44552009192872116,22.725417993710693
Chiang Mai,11,0.47778800365591395,0.40318299707526883,20.777936862365593
Chiang Mai,12,0.4538573369458414,0.3057805909090909,20.118160371373307
Chiang Rai,1,0.3634178577660036,0.25332575775768534,19.598288804701625
Chiang Rai,2,0.34963990514162346,0.25131867860794477,22.852374397236616
Chiang Rai,3,0.35976398959814054,0.2702045054545455,25.800260972107438
Chiang Rai,4,0.3472533683157576,0.2547912715321212,29.558799316969697
Chiang Rai,5,0.344823475515845,0.378717802693662,27.34976321830986
Chiang Rai,6,0.37085485758050846,0.4371725948728814,26.233933580508474
Chiang Rai,7,0.4191709556244344,0.45478494719457013,25.681218656108598
Chiang Rai,8,0.4550485244089494,0.46044730723735405,25.06697506225681
Chiang Rai,9,0.47493888007627116,0.4567313238983051,25.259006762711863
Chiang Rai,10,0.4668305793832599,0.4381577656387665,24.24843527753304
Chiang Rai,11,0.42063127108910886,0.39903493689768976,21.775110343234324
Chiang Rai,12,0.40415010637362636,0.30083859497252746,20.426342442307693
Kamphaeng Phet,1,0.299966851975265,0.18856054396819788,23.126479671378092
Kamphaeng Phet,2,0.27924563268085106,0.23451787620567374,25.28543528723404
Kamphaeng Phet,3,0.30286117292985976,0.24221510248496994,27.279033146292587
Kamphaeng Phet,4,0.3200784091644914,0.24365386619961613,29.556529737044148
Kamphaeng Phet,5,0.26912234726027395,0.3326627825114155,29.24535569863014
Kamphaeng Phet,6,0.32700848714136127,0.3942772063874346,27.424380890052355
Kamphaeng Phet,7,0.3707522714709302,0.42917124761627906,26.96836966860465
Kamphaeng Phet,8,0.4022478001785714,0.40672919529761903,27.059004464285717
Kamphaeng Phet,9,0.41325171478142075,0.4421996575409836,26.46592908196721
Kamphaeng Phet,10,0.4181984731477833,0.4180410557142857,26.021303103448275
Kamphaeng Phet,11,0.37667724587570617,0.35123290881355934,24.495738666666664
Kamphaeng Phet,12,0.3358236018577075,0.23198868166007905,23.99734514624506
Kanchanaburi,3,0.33191717,0.22677869,25.13835
Kanchanaburi,4,0.4820581,0.2567019,27.140709
Kanchanaburi,6,0.4219745,0.40786758,23.136492
Khon Kaen,2,0.3263434,0.279853,25.026167
Khon Kaen,3,0.49556798,0.34966397,25.957403
Lampang,1,0.37603631104761903,0.24585059558095237,22.02232693015873
Lampang,2,0.29489541817603,0.24935888412484394,24.956387595505618
Lampang,3,0.30609022037209305,0.2607412674868717,27.694151159789946
Lampang,4,0.320959618028021,0.2585934840245184,30.229643299474606
Lampang,5,0.3276093080986667,0.3732360242933333,28.088294789333332
Lampang,6,0.3953556868021978,0.4357576634432234,26.269902604395604
Lampang,7,0.46544119493212666,0.45107602339366515,25.81346948868778
Lampang,8,0.48913815664233573,0.4502502873357664,25.66109555109489
Lampang,9,0.5024666558256303,0.4609645470588235,25.342902840336134
Lampang,10,0.4931577569083969,0.43828122564885497,25.076006958015267
Lampang,11,0.46550526914341084,0.38069856643410854,23.039206058139538
Lampang,12,0.4325031417491525,0.27533631355932203,22.61580605084746
Lamphun,1,0.3851843316,0.217847366,21.329943864
Lamphun,2,0.29869195687074834,0.23099967938775512,23.710379656462585
Lamphun,3,0.30806830639053256,0.22821603094674556,26.971706861932937
Lamphun,4,0.3355126616321839,0.2339224186494253,29.627870522988506
